	code	company	old_price	new_price	returns
52	225220	제놀루션	7250	28800	297.2413793103448
53	065680	우주일렉트로	8400	33150	294.64285714285717
54	058970	엠로	3000	11800	293.3333333333333
55	112610	씨에스윈드	38000	148000	289.4736842105263
56	131290	티에스이	13800	53000	284.05797101449275
57	011200	HMM	3550	13600	283.09859154929575
58	285490	노바텍	19350	73700	280.8785529715762
59	067000	조이시티	8070	29750	268.64931846344484
60	013720	청보산업	2390	8790	267.78242677824267
61	297090	씨에스베어링	8490	31200	267.4911660777385
62	037270	YG PLUS	1370	4985	263.8686131386861
63	217600	켐온	1390	5040	262.58992805755395
64	063160	종근당바이오	29500	106500	261.0169491525424
65	078590	OQP	1535	5540	260.91205211726384
66	042040	케이피엠테크	975	3515	260.5128205128205
67	036810	에프에스티	7750	27800	258.7096774193548
68	003090	대웅	12950	46450	258.6872586872587
69	307750	대신밸런스제6호스팩	2020	7220	257.4257425742574
70	053030	바이넥스	7900	28150	256.3291139240506
71	101490	에스앤에스텍	12200	43400	255.73770491803282
72	241820	피씨엘	8060	28550	254.21836228287842
73	012600	센트럴인사이트	2600	9120	250.76923076923077
74	007860	서연	2920	10200	249.3150684931507
75	237690	에스티팜	29800	103500	247.31543624161074
76	130500	GH신소재	3080	10650	245.7792207792208
77	045660	에이텍	9200	31500	242.39130434782606
78	217270	넵튠	6720	23000	242.26190476190476
79	006890	태경케미컬	5250	17850	240.0
80	012790	신일제약	7150	24200	238.46153846153845
81	200350	래몽래인	5000	16750	235.0
82	019770	서연탑메탈	2640	8810	233.7121212121212
83	027360	아주IB투자	1245	4150	233.33333333333334
84	051160	지어소프트	4200	13900	230.95238095238093
85	227950	엔투텍	1940	6390	229.38144329896906
86	289080	SV인베스트먼트	1860	6080	226.88172043010755
87	100130	동국S&C	2575	8410	226.60194174757282
88	189330	씨이랩	12000	39000	225.0
89	137400	피엔티	7210	23400	224.54923717059637
90	170030	현대공업	3030	9600	216.83168316831686
91	268600	셀리버리	57600	181400	214.93055555555554
92	088800	에이스테크	8130	25500	213.65313653136533
93	148780	비플라이소프트	1805	5630	211.91135734072023
94	216400	바이오코아	4245	13150	209.77620730270905
95	217330	싸이토젠	12550	38850	209.5617529880478
96	066590	우수AMS	3080	9460	207.14285714285717
97	044180	KD	495	1515	206.06060606060606
98	047920	에이치엘비제약	5430	16600	205.70902394106815
99	250030	진코스텍	4400	13400	204.54545454545453
100	032850	비트컴퓨터	4365	13200	202.40549828178695
101	014940	오리엔탈정공	800	2415	201.87499999999997
102	060250	NHN한국사이버결제	22200	66600	200.0
103	060300	레드로버	610	1830	200.0
104	064550	바이오니아	6790	20050	195.28718703976438
105	127120	디엔에이링크	3690	10800	192.6829268292683
106	091990	셀트리온헬스케어	53000	154500	191.50943396226415
107	092220	KEC	1035	3005	190.33816425120773
108	006280	녹십자	132500	384500	190.18867924528303
109	241840	에이스토리	8910	25850	190.12345679012347
110	016710	대성홀딩스	8330	24150	189.9159663865546
111	005320	국동	1235	3580	189.87854251012143
112	206640	바디텍메드	9650	27950	189.63730569948189
113	232680	라온테크	4100	11800	187.80487804878047
